Agreement,Year,Part,Section,Provision Reference,Provision Text,search_text
Westbank First Nation Self-Government,2005,Part I - Definitions,,,"""Community Purpose"" means a purpose which is intended to provide a facility, benefit or support for the Members or persons residing on Westbank Lands, and is limited to transportation and utility corridors and requirements related to transportation and utility corridors.",definition community purpose mean purpose intended provide facility benefit support member person residing westbank land limited transportation utility corridor requirement related transportation utility corridor
Westbank First Nation Self-Government,2005,Part I - Definitions,,,"""conflict"" means actual conflict in operation.",definition conflict mean actual conflict operation
Westbank First Nation Self-Government,2005,Part I - Definitions,,,"""Constitution"" means the constitution of Westbank First Nation established and ratified in accordance with this Agreement.",definition constitution mean constitution westbank established ratified accordance agreement
Westbank First Nation Self-Government,2005,Part I - Definitions,,,"""Council"" means the governing council of Westbank First Nation.",definition council mean governing council westbank
Westbank First Nation Self-Government,2005,Part I - Definitions,,,"""Effective Date"" means the date the Legislation comes into force.",definition effective date mean date legislation come force
Westbank First Nation Self-Government,2005,Part I - Definitions,,,"""expropriation"" means a taking of an interest or all interests in Westbank Lands through a process established by sections 111 to 124 or by Westbank Law established in accordance with section 105.",definition expropriation mean taking interest interest westbank land process established section westbank law established accordance
Westbank First Nation Self-Government,2005,Part I - Definitions,,,"""intellectual property"" includes any intangible property right resulting from intellectual activity in the industrial, scientific, literary, or artistic fields, including, but not limited to, any right relating to patents, copyrights, trademarks, industrial designs, or plant breeders' rights.",definition intellectual property includes intangible property right resulting intellectual activity industrial scientific literary artistic field including limited right relating patent copyright trademark industrial design plant breeder right
Westbank First Nation Self-Government,2005,Part I - Definitions,,,"""interest in Westbank Lands"" means any estate, right or interest of any nature in Westbank Lands recognized by law, including for greater certainty any leasehold interest, but does not include title to Westbank Lands as referred to in section 87.",definition interest westbank land mean estate right interest nature westbank land recognized law including greater certainty leasehold interest include title westbank land referred
Westbank First Nation Self-Government,2005,Part I - Definitions,,,"""jurisdiction"" means law-making authority.",definition jurisdiction mean lawmaking authority
Westbank First Nation Self-Government,2005,Part I - Definitions,,,"""Legislation"" means an act of Parliament which confirms and implements and gives effect to this Agreement.",definition legislation mean act parliament confirms implement give effect agreement
Westbank First Nation Self-Government,2005,Part I - Definitions,,,"""Licence"", in relation to Westbank Lands, means any right of use or occupation of the land other than an interest in Westbank Lands.",definition licence relation westbank land mean right use occupation land interest westbank land
Westbank First Nation Self-Government,2005,Part I - Definitions,,,"""Member"" means a member of Westbank First Nation as defined in the Constitution.",definition member mean member westbank defined constitution
Westbank First Nation Self-Government,2005,Part I - Definitions,,,"""Mentally Incompetent"" means a person who pursuant to the laws of the Province, had been found to be mentally defective or incompetent for the purposes of any laws of the Province providing for the administration of estates of mentally defective or incompetent persons.",definition mentally incompetent mean person pursuant law province found mentally defective incompetent purpose law province providing administration estate mentally defective incompetent person
Westbank First Nation Self-Government,2005,Part I - Definitions,,,"""Minerals"" means and includes gold, silver and all naturally occurring useful minerals, but shall not include peat, coal, petroleum, natural gas, bitumen, oil shales, limestone, marble, clay, gypsum or any building stone when mined for building purposes, earth, ash, marl, gravel, sand or any element which forms part of the agricultural surface of the land.",definition mineral mean includes gold silver naturally occurring useful mineral shall include peat coal petroleum natural gas bitumen oil shale limestone marble clay gypsum building stone mined building purpose earth ash marl gravel sand element form agricultural surface land
Westbank First Nation Self-Government,2005,Part I - Definitions,,,"""ordinarily resident"" means the place where, in the settled routine of a person's life, that person regularly, normally or customarily lives.",definition ordinarily resident mean place settled routine person life person regularly normally customarily life
Westbank First Nation Self-Government,2005,Part I - Definitions,,,"""Parties"" means Westbank First Nation and Canada.",definition party mean westbank canada
Westbank First Nation Self-Government,2005,Part I - Definitions,,,"""province"" means the province of British Columbia.",definition province mean province british columbia
Westbank First Nation Self-Government,2005,Part I - Definitions,,,"""Westbank First Nation"" means the body of people formerly known as the Band under the Indian Act and for whose use and benefit in common Westbank Lands have been set apart by Her Majesty the Queen.",definition westbank mean body people formerly known band indian act whose use benefit common westbank land set apart majesty queen
Westbank First Nation Self-Government,2005,Part I - Definitions,,,"""Westbank Lands"" are:",definition westbank land
Westbank First Nation Self-Government,2005,Part I - Definitions,,(a),"the following existing Westbank Indian reserves:
      
Mission Creek Indian Reserve Number 8 in the province;
Tsinstikeptum Indian Reserve Number 9 in the province;
Tsinstikeptum Indian Reserve Number 10 in the province;
Medicine Hill Indian Reserve Number 11 in the province;
Medicine Creek Indian Reserve Number 12 in the province;

",definition following existing westbank indian reserve mission creek indian reserve number province tsinstikeptum indian reserve number province tsinstikeptum indian reserve number province medicine hill indian reserve number province medicine creek indian reserve number province
Westbank First Nation Self-Government,2005,Part I - Definitions,,(a)(i),Mission Creek Indian Reserve Number 8 in the province;,definition mission creek indian reserve number province
Westbank First Nation Self-Government,2005,Part I - Definitions,,(a)(ii),Tsinstikeptum Indian Reserve Number 9 in the province;,definition tsinstikeptum indian reserve number province
Westbank First Nation Self-Government,2005,Part I - Definitions,,(a)(iii),Tsinstikeptum Indian Reserve Number 10 in the province;,definition tsinstikeptum indian reserve number province
Westbank First Nation Self-Government,2005,Part I - Definitions,,(a)(iv),Medicine Hill Indian Reserve Number 11 in the province;,definition medicine hill indian reserve number province
Westbank First Nation Self-Government,2005,Part I - Definitions,,(a)(v),Medicine Creek Indian Reserve Number 12 in the province;,definition medicine creek indian reserve number province
Westbank First Nation Self-Government,2005,Part I - Definitions,,(b),lands set apart by Canada in the future as lands reserved for Westbank First Nation within the meaning of subsection 91(24) of the Constitution Act 1867.,definition land set apart canada future land reserved westbank within meaning constitution act
Westbank First Nation Self-Government,2005,Part I - Definitions,,,"""Westbank Law"" means laws of Westbank First Nation enacted in accordance with the jurisdictions described in this Agreement, and the Constitution.",definition westbank law mean law westbank enacted accordance jurisdiction described agreement constitution
Westbank First Nation Self-Government,2005,Part II - Fundamental Principles,,(1),"

The purpose of this Agreement is to implement aspects of the inherent right of self-government by Westbank First Nation on Westbank Lands based on the recognition that the inherent right of self-government is an existing aboriginal right within section 35 of the Constitution Act, 1982.
This Agreement is not intended to constitute an expression by the Parties of any definitive legal views with respect to how an inherent right of self-government may ultimately be defined at law.

",ii fundamental principle purpose agreement implement aspect inherent right selfgovernment westbank westbank land based recognition inherent right selfgovernment existing aboriginal right within constitution act agreement intended constitute expression party definitive legal view respect inherent right selfgovernment may ultimately defined law
Westbank First Nation Self-Government,2005,Part II - Fundamental Principles,,(1)(a),"The purpose of this Agreement is to implement aspects of the inherent right of self-government by Westbank First Nation on Westbank Lands based on the recognition that the inherent right of self-government is an existing aboriginal right within section 35 of the Constitution Act, 1982.",ii fundamental principle purpose agreement implement aspect inherent right selfgovernment westbank westbank land based recognition inherent right selfgovernment existing aboriginal right within constitution act
Westbank First Nation Self-Government,2005,Part II - Fundamental Principles,,(b),This Agreement is not intended to constitute an expression by the Parties of any definitive legal views with respect to how an inherent right of self-government may ultimately be defined at law.,ii fundamental principle agreement intended constitute expression party definitive legal view respect inherent right selfgovernment may ultimately defined law
Westbank First Nation Self-Government,2005,Part II - Fundamental Principles,,,"

This Agreement is not intended to restrict the capacity of Westbank First Nation to participate in any other process that may be established to implement the inherent right of self-government by First Nations on a tribal, regional or national basis.
Canada retains the discretion to set its criteria for parties with whom it negotiates self-government arrangements.

",ii fundamental principle agreement intended restrict capacity westbank participate process may established implement inherent right selfgovernment nation tribal regional national basis canada retains discretion set criterion party negotiates selfgovernment arrangement
Westbank First Nation Self-Government,2005,Part II - Fundamental Principles,,(1)(a),"This Agreement is not intended to restrict the capacity of Westbank First Nation to participate in any other process that may be established to implement the inherent right of self-government by First Nations on a tribal, regional or national basis.",ii fundamental principle agreement intended restrict capacity westbank participate process may established implement inherent right selfgovernment nation tribal regional national basis
Westbank First Nation Self-Government,2005,Part II - Fundamental Principles,,(b),Canada retains the discretion to set its criteria for parties with whom it negotiates self-government arrangements.,ii fundamental principle canada retains discretion set criterion party negotiates selfgovernment arrangement
Westbank First Nation Self-Government,2005,Part II - Fundamental Principles,,,"The arrangements set out in this Agreement reflect a government-to-government relationship between the Parties, within the framework of the Constitution of Canada and with the recognition that the inherent right of self-government is an existing aboriginal right within section 35 of the Constitution Act, 1982.",ii fundamental principle arrangement set agreement reflect governmenttogovernment relationship party within framework constitution canada recognition inherent right selfgovernment existing aboriginal right within constitution act
Westbank First Nation Self-Government,2005,Part II - Fundamental Principles,,(2),"

This Agreement shall not constitute a treaty. This Agreement is without prejudice to treaty-making in British Columbia.
On the effective date of a treaty involving Westbank First Nation, Canada and the province, where that treaty includes governance provisions, this Agreement and any implementing legislation shall be superseded by that treaty.

",ii fundamental principle agreement shall constitute treaty agreement without prejudice treatymaking british columbia effective date treaty involving westbank canada province treaty includes governance provision agreement implementing legislation shall superseded treaty
Westbank First Nation Self-Government,2005,Part II - Fundamental Principles,,(2)(a),This Agreement shall not constitute a treaty. This Agreement is without prejudice to treaty-making in British Columbia.,ii fundamental principle agreement shall constitute treaty agreement without prejudice treatymaking british columbia
Westbank First Nation Self-Government,2005,Part II - Fundamental Principles,,(b),"On the effective date of a treaty involving Westbank First Nation, Canada and the province, where that treaty includes governance provisions, this Agreement and any implementing legislation shall be superseded by that treaty.",ii fundamental principle effective date treaty involving westbank canada province treaty includes governance provision agreement implementing legislation shall superseded treaty
Westbank First Nation Self-Government,2005,Part II - Fundamental Principles,,,"Westbank Lands are ""lands reserved for the Indians"" under subsection 91(24) of the Constitution Act, 1867, and are reserves set apart by Her Majesty the Queen in right of Canada for the use and benefit of Westbank First Nation.",ii fundamental principle westbank land land reserved indian constitution act reserve set apart majesty queen right canada use benefit westbank
Westbank First Nation Self-Government,2005,Part II - Fundamental Principles,,(3),"Nothing in this Agreement or the Legislation shall be construed as limiting or restricting either Party's position with respect to aboriginal rights, title, jurisdictions or interests.",ii fundamental principle nothing agreement legislation shall construed limiting restricting either party position respect aboriginal right title jurisdiction interest
Westbank First Nation Self-Government,2005,Part II - Fundamental Principles,,(4),"Nothing in this Agreement or the Legislation shall be construed to abrogate or derogate from aboriginal rights recognized and affirmed by section 35 of the Constitution Act, 1982.",ii fundamental principle nothing agreement legislation shall construed abrogate derogate aboriginal right recognized affirmed constitution act
Westbank First Nation Self-Government,2005,Part II - Fundamental Principles,,(5),"For greater certainty, nothing in this Agreement shall be construed as recognising or denying any aboriginal rights recognised and affirmed by section 35 of the Constitution Act, 1982.",ii fundamental principle greater certainty nothing agreement shall construed recognising denying aboriginal right recognised affirmed constitution act
Westbank First Nation Self-Government,2005,Part II - Fundamental Principles,,(6),Members who are Canadian citizens or permanent residents of Canada shall continue to be entitled to all of the rights and benefits of all other Canadian citizens or permanent residents of Canada applicable to them from time to time.,ii fundamental principle member canadian citizen permanent resident canada shall continue entitled right benefit canadian citizen permanent resident canada applicable time time
Westbank First Nation Self-Government,2005,Part II - Fundamental Principles,,(7),"Westbank First Nation, or its Members, or both, shall be eligible to participate in and benefit from federal programs for aboriginal people in accordance with general criteria established from time to time, to the extent that Westbank First Nation has not assumed responsibility for provision of such benefits or programs.",ii fundamental principle westbank member shall eligible participate benefit federal program aboriginal people accordance general criterion established time time extent westbank assumed responsibility provision benefit program
Westbank First Nation Self-Government,2005,Part II - Fundamental Principles,,(8),"Westbank First Nation, or its Members, or both, shall be entitled to rights under applicable federal legislation for Indians, Bands or aboriginal people in accordance with general criteria established under the legislation from time to time.",ii fundamental principle westbank member shall entitled right applicable federal legislation indian band aboriginal people accordance general criterion established legislation time time
Westbank First Nation Self-Government,2005,Part II - Fundamental Principles,,(9),The implementation of this Agreement shall not affect the Okanagan Nation or other First Nations within the Okanagan Nation in their assertion of an inherent right of self-government.,ii fundamental principle implementation agreement shall affect okanagan nation within okanagan assertion inherent right selfgovernment
Westbank First Nation Self-Government,2005,Part II - Fundamental Principles,,(10),"The Parties agree that:
      
notwithstanding this Agreement, the overall fiduciary relationship between the Parties shall continue; and
as Westbank First Nation exercises jurisdiction and authority pursuant to this Agreement, fiduciary obligations owed by Canada to Westbank First Nation shall be as determined by the law respecting fiduciary relationships.

",ii fundamental principle party agree notwithstanding agreement overall fiduciary relationship party shall continue westbank exercise jurisdiction authority pursuant agreement fiduciary obligation owed canada westbank shall determined law respecting fiduciary relationship
Westbank First Nation Self-Government,2005,Part II - Fundamental Principles,,(10)(a),"notwithstanding this Agreement, the overall fiduciary relationship between the Parties shall continue; and",ii fundamental principle notwithstanding agreement overall fiduciary relationship party shall continue
Westbank First Nation Self-Government,2005,Part II - Fundamental Principles,,(b),"as Westbank First Nation exercises jurisdiction and authority pursuant to this Agreement, fiduciary obligations owed by Canada to Westbank First Nation shall be as determined by the law respecting fiduciary relationships.",ii fundamental principle westbank exercise jurisdiction authority pursuant agreement fiduciary obligation owed canada westbank shall determined law respecting fiduciary relationship
Westbank First Nation Self-Government,2005,Part II - Fundamental Principles,,,The implementation of this Agreement shall be conducted in good faith.,ii fundamental principle implementation agreement shall conducted good faith
Westbank First Nation Self-Government,2005,Part II - Fundamental Principles,,(11),"Following the Effective Date, and subject to this Agreement, the implementation plan and the financial transfer agreement, Council will determine when it will exercise any remaining jurisdictions set out in this Agreement.",ii fundamental principle following effective date subject agreement implementation plan financial transfer agreement council determine exercise remaining jurisdiction set agreement
Westbank First Nation Self-Government,2005,Part II - Fundamental Principles,,(12),"To support the implementation of this Agreement, the Parties shall negotiate a financial transfer agreement and an implementation plan in accordance with the provisions of Parts XXV and XXVI.",ii fundamental principle support implementation agreement party shall negotiate financial transfer agreement implementation plan accordance provision part xxv xxvi
Westbank First Nation Self-Government,2005,Part II - Fundamental Principles,,(13),"Responsibility for the delivery of federal programs and services to Westbank First Nation and its Members shall remain with Canada until such time as Westbank First Nation assumes responsibility for the delivery of programs and services in accordance with, and subject to, this Agreement, the financial transfer agreement, the implementation plan or other agreements entered into between Westbank First Nation and Canada.",ii fundamental principle responsibility delivery federal program service westbank member shall remain canada time westbank assumes responsibility delivery program service accordance subject agreement financial transfer agreement implementation plan agreement entered westbank canada
Westbank First Nation Self-Government,2005,Part II - Fundamental Principles,,(14),Westbank First Nation and Canada may enter into agreements from time to time with respect to specific matters contained in this Agreement.,ii fundamental principle westbank canada may enter agreement time time respect specific matter contained agreement
Westbank First Nation Self-Government,2005,Part III - Legal Status and Capacity,,(15),"In addition to Westbank First Nation's capacity to pass and enforce Westbank Law pursuant to this Agreement, Westbank First Nation is a legal entity with the rights, powers and privileges of a natural person, which includes the capacity to:
      
enter into agreements and contracts with any person, government or organization;
acquire, hold or dispose of property and any interests therein;
acquire, hold or dispose of bequests and gifts;
sue or be sued and to act on its behalf in legal proceedings;
hold, spend, invest or borrow money, and secure or guarantee the repayment of money borrowed;
create, operate, contribute to, act as trustee or otherwise deal with trusts;
be appointed and to act as an executor, administrator or trustee of an estate; and
do other things ancillary to the exercise of its rights, powers and privileges, but does not include the capacity to be appointed and to act as a guardian.

",iii legal status capacity addition westbank nation capacity pas enforce westbank law pursuant agreement westbank legal entity right power privilege natural person includes capacity enter agreement contract person government organization acquire hold dispose property interest therein acquire hold dispose bequest gift sue sued act behalf legal proceeding hold spend invest borrow money secure guarantee repayment money borrowed create operate contribute act trustee otherwise deal trust appointed act executor administrator trustee estate thing ancillary exercise right power privilege include capacity appointed act guardian
Westbank First Nation Self-Government,2005,Part III - Legal Status and Capacity,,(15)(a),"enter into agreements and contracts with any person, government or organization;",iii legal status capacity enter agreement contract person government organization
Westbank First Nation Self-Government,2005,Part III - Legal Status and Capacity,,(b),"acquire, hold or dispose of property and any interests therein;",iii legal status capacity acquire hold dispose property interest therein
Westbank First Nation Self-Government,2005,Part III - Legal Status and Capacity,,(c),"acquire, hold or dispose of bequests and gifts;",iii legal status capacity acquire hold dispose bequest gift
Westbank First Nation Self-Government,2005,Part III - Legal Status and Capacity,,(d),sue or be sued and to act on its behalf in legal proceedings;,iii legal status capacity sue sued act behalf legal proceeding
Westbank First Nation Self-Government,2005,Part III - Legal Status and Capacity,,(e),"hold, spend, invest or borrow money, and secure or guarantee the repayment of money borrowed;",iii legal status capacity hold spend invest borrow money secure guarantee repayment money borrowed
Westbank First Nation Self-Government,2005,Part III - Legal Status and Capacity,,(f),"create, operate, contribute to, act as trustee or otherwise deal with trusts;",iii legal status capacity create operate contribute act trustee otherwise deal trust
Westbank First Nation Self-Government,2005,Part III - Legal Status and Capacity,,(g),"be appointed and to act as an executor, administrator or trustee of an estate; and",iii legal status capacity appointed act executor administrator trustee estate
Westbank First Nation Self-Government,2005,Part III - Legal Status and Capacity,,(h),"do other things ancillary to the exercise of its rights, powers and privileges, but does not include the capacity to be appointed and to act as a guardian.",iii legal status capacity thing ancillary exercise right power privilege include capacity appointed act guardian
Westbank First Nation Self-Government,2005,Part IV - Powers of Government,,,Westbank First Nation has legal capacity to govern itself in accordance with this Agreement.,iv power government westbank legal capacity govern accordance agreement
Westbank First Nation Self-Government,2005,Part IV - Powers of Government,,(16),Westbank First Nation shall act through the Council in exercising its powers and carrying out its duties and functions.,iv power government westbank shall act council exercising power carrying duty function
Westbank First Nation Self-Government,2005,Part IV - Powers of Government,,(17),"

Westbank First Nation may make laws or do such other things as may be necessarily incidental to the jurisdictions set out in this Agreement or to enable Westbank First Nation to exercise its rights or to carry out its responsibilities pursuant to this Agreement.
Westbank Law may provide for the issuance of licences and permits for a fee in relation to any matter which is the subject of Westbank Law.

",iv power government westbank may make law thing may necessarily incidental jurisdiction set agreement enable westbank exercise right carry responsibility pursuant agreement westbank law may provide issuance licence permit fee relation matter subject westbank law
Westbank First Nation Self-Government,2005,Part IV - Powers of Government,,(17)(a),Westbank First Nation may make laws or do such other things as may be necessarily incidental to the jurisdictions set out in this Agreement or to enable Westbank First Nation to exercise its rights or to carry out its responsibilities pursuant to this Agreement.,iv power government westbank may make law thing may necessarily incidental jurisdiction set agreement enable westbank exercise right carry responsibility pursuant agreement
Westbank First Nation Self-Government,2005,Part IV - Powers of Government,,(b),Westbank Law may provide for the issuance of licences and permits for a fee in relation to any matter which is the subject of Westbank Law.,iv power government westbank law may provide issuance licence permit fee relation matter subject westbank law
Westbank First Nation Self-Government,2005,Part IV - Powers of Government,,,"For greater certainty, the Parties recognize that the jurisdictions set out in this Agreement are not intended to be definitive of the inherent right that may be implemented through negotiations between Westbank First Nation and Canada or definitive of how the inherent right of self-government may ultimately be defined at law.",iv power government greater certainty party recognize jurisdiction set agreement intended definitive inherent right may implemented negotiation westbank canada definitive inherent right selfgovernment may ultimately defined law
Westbank First Nation Self-Government,2005,Part IV - Powers of Government,,(18),"For greater certainty, the government of Westbank First Nation and its institutions shall be considered public bodies for the purpose of tort claims against the government of Westbank First Nation and its institutions.",iv power government greater certainty government westbank institution shall considered public body purpose tort claim government westbank institution
Westbank First Nation Self-Government,2005,Part IV - Powers of Government,,(19),"Westbank First Nation may enter into agreements with Canada or other governments in Canada concerning land, waters, resources, both renewable and non-renewable, or air adjacent to Westbank Lands or where an interest of Westbank First Nation is or may be affected.",iv power government westbank may enter agreement canada government canada concerning land water resource renewable nonrenewable air adjacent westbank land interest westbank may affected
Westbank First Nation Self-Government,2005,Part IV - Powers of Government,,(20),"Westbank First Nation may, in the exercise of the jurisdictions set out in this Agreement, make laws concerning the personal immunity from civil liability of employees, officers or elected officials of the government of Westbank First Nation and its institutions, subject to such provisions also providing that the government of Westbank First Nation, as employer, retains vicarious liability for the acts or omissions of employees, officers or elected officials of the government of the Westbank First Nation covered by the immunity.",iv power government westbank may exercise jurisdiction set agreement make law concerning personal immunity civil liability employee officer elected official government westbank institution subject provision also providing government westbank employer retains vicarious liability act omission employee officer elected official government westbank covered immunity
Westbank First Nation Self-Government,2005,Part IV - Powers of Government,,(21),"Westbank First Nation may enter into agreements with any level of government in Canada, including any government agency or entity or any other national, regional or local entity, group or organization, concerning delivery of programs and services on Westbank Lands.",iv power government westbank may enter agreement level government canada including government agency entity national regional local entity group organization concerning delivery program service westbank land
Westbank First Nation Self-Government,2005,Part IV - Powers of Government,,(22),"Westbank First Nation may enter into agreements to receive powers, including legislative powers, by delegation.",iv power government westbank may enter agreement receive power including legislative power delegation
Westbank First Nation Self-Government,2005,Part V - Application of Law,,(23),"Federal law shall continue to apply to Westbank First Nation, Council, Westbank Lands and Members. In the event of a conflict between a Westbank Law and a federal law, priority shall be determined in accordance with this Agreement.",v application law federal law shall continue apply westbank council westbank land member event conflict westbank law federal law priority shall determined accordance agreement
Westbank First Nation Self-Government,2005,Part V - Application of Law,,(24),"A federal law shall prevail in the event of a conflict between a federal law and a Westbank Law, to the extent of the conflict, where the subject matter of the federal law is a subject matter in relation to which Westbank First Nation has no jurisdiction set out in this Agreement.",v application law federal law shall prevail event conflict federal law westbank law extent conflict subject matter federal law subject matter relation westbank jurisdiction set agreement
Westbank First Nation Self-Government,2005,Part V - Application of Law,,(25),"In the event of a conflict between a Westbank Law and a federal law that relates to the peace, order and good government of Canada, the federal law shall prevail to the extent of the conflict.",v application law event conflict westbank law federal law relates peace order good government canada federal law shall prevail extent conflict
Westbank First Nation Self-Government,2005,Part V - Application of Law,,(26),"The government of Westbank First Nation and Council in respect of all matters under its authority are bound by the provisions of the Canadian Charter of Rights and Freedoms with due regard for section 25 of the Charter which provides that the guarantee in the Charter of certain rights and freedoms shall not be construed so as to abrogate or derogate from any aboriginal, treaty or other rights or freedoms that pertain to the aboriginal peoples of Canada, and the rights and freedoms guaranteed by the Charter are enforceable in respect of the government of Westbank First Nation and the Council.",v application law government westbank council respect matter authority bound provision canadian charter right freedom due regard charter provides guarantee charter certain right freedom shall construed abrogate derogate aboriginal treaty right freedom pertain aboriginal people canada right freedom guaranteed charter enforceable respect government westbank council
Westbank First Nation Self-Government,2005,Part V - Application of Law,,(27),"In the event of a conflict between either this Agreement or the Legislation, or both, and other federal law, this Agreement or the Legislation, or both, shall prevail to the extent of the conflict.",v application law event conflict either agreement legislation federal law agreement legislation shall prevail extent conflict
Westbank First Nation Self-Government,2005,Part V - Application of Law,,(28),"

Subject to any other act of Parliament, all provincial laws of general application from time to time in force in British Columbia are applicable to and in respect of Members, except to the extent that those laws are in conflict with this Agreement, the Legislation or any Westbank Law, and except to the extent that those laws make provision for any matter for which provision is made by or under this Agreement or the Legislation or Westbank Law.
For greater certainty, subsection 34(a) is intended to have the same effect on provincial laws of general application as section 88 of the Indian Act has on provincial laws of general application.

",v application law subject act parliament provincial law general application time time force british columbia applicable respect member except extent law conflict agreement legislation westbank law except extent law make provision matter provision made agreement legislation westbank law greater certainty intended effect provincial law general application indian act provincial law general application
Westbank First Nation Self-Government,2005,Part V - Application of Law,,(28)(a),"Subject to any other act of Parliament, all provincial laws of general application from time to time in force in British Columbia are applicable to and in respect of Members, except to the extent that those laws are in conflict with this Agreement, the Legislation or any Westbank Law, and except to the extent that those laws make provision for any matter for which provision is made by or under this Agreement or the Legislation or Westbank Law.",v application law subject act parliament provincial law general application time time force british columbia applicable respect member except extent law conflict agreement legislation westbank law except extent law make provision matter provision made agreement legislation westbank law
Westbank First Nation Self-Government,2005,Part V - Application of Law,,(b),"For greater certainty, subsection 34(a) is intended to have the same effect on provincial laws of general application as section 88 of the Indian Act has on provincial laws of general application.",v application law greater certainty intended effect provincial law general application indian act provincial law general application
Westbank First Nation Self-Government,2005,Part V - Application of Law,,,"The operation of this Agreement shall not limit the authority of Canada or the Minister of National Defence to carry out activities related to national defence, security and public safety.",v application law operation agreement shall limit authority canada minister national defence carry activity related national defence security public safety
