Agreement,Year,Part,Section,Provision Reference,Provision Text,search_part,search_text
"Chapter 7:
    Moving Forward on Reconciliation",2022,7.2 Supporting Strong and Healthy Communities,"Improving Health Outcomes in Indigenous Communities 
View the impact assessment
",," 
Indigenous communities continue to face unique challenges in responding to COVID-19. Budget 2022 proposes to invest an additional $190.5 million in 2022-23 to Indigenous Services Canada for the Indigenous Community Support Fund to help Indigenous communities and organizations mitigate the ongoing impacts of COVID-19.
",supporting strong healthy community improving health outcome indigenous community view impact assessment,indigenous community continue face unique challenge responding covid budget proposes invest additional million indigenous service canada indigenous community support fund help indigenous community organization mitigate ongoing impact covid
"Chapter 7:
    Moving Forward on Reconciliation",2022,7.2 Supporting Strong and Healthy Communities,"Distinctions-based Mental Health and Wellness 
View the impact assessment
",,"Addressing the unique and deeply rooted traumas of First Nations, Inuit, and Métis communities—which include intergenerational trauma; overt and systemic racism and discrimination; and social and economic inequality—requires a distinctions-based approach to mental health and wellness that is developed and delivered by Indigenous peoples.",supporting strong healthy community distinctionsbased mental health wellness view impact assessment,addressing unique deeply rooted trauma first nation inuit métis communities—which include intergenerational trauma overt systemic racism discrimination social economic inequality—requires distinctionsbased approach mental health wellness developed delivered indigenous people
"Chapter 7:
    Moving Forward on Reconciliation",2022,7.2 Supporting Strong and Healthy Communities,"Distinctions-based Mental Health and Wellness 
View the impact assessment
",," 
Budget 2022 proposes to provide $227.6 million over two years, starting in 2022-23, to maintain trauma-informed, culturally-appropriate, Indigenous-led services to improve mental wellness, and to support efforts initiated through Budget 2021 to co-develop distinctions-based mental health and wellness strategies.
",supporting strong healthy community distinctionsbased mental health wellness view impact assessment,budget proposes provide million two year starting maintain traumainformed culturallyappropriate indigenousled service improve mental wellness support effort initiated budget codevelop distinctionsbased mental health wellness strategy
"Chapter 7:
    Moving Forward on Reconciliation",2022,7.2 Supporting Strong and Healthy Communities,First Nations Elementary and Secondary Education,,"Education is key to a strong start in life. In 2019, the federal government implemented a new co-developed policy and funding approach to help ensure First Nations children living on reserve receive a high-quality education that meets their unique needs. Since then, First Nations education systems have benefited from more than $3.8 billion in investments.",supporting strong healthy community first nation elementary secondary education,education key strong start life federal government implemented new codeveloped policy funding approach help ensure first nation child living reserve receive highquality education meet unique need since first nation education system benefited billion investment
"Chapter 7:
    Moving Forward on Reconciliation",2022,7.2 Supporting Strong and Healthy Communities,First Nations Elementary and Secondary Education,," 
Budget 2022 proposes to invest an additional $310.6 million over 5 years to support better student outcomes through a Regional Education Agreement with the First Nations Education Council, which includes 22 member communities in Quebec.
",supporting strong healthy community first nation elementary secondary education,budget proposes invest additional million year support better student outcome regional education agreement first nation education council includes member community quebec
"Chapter 7:
    Moving Forward on Reconciliation",2022,7.2 Supporting Strong and Healthy Communities,"Clean Drinking Water and Better Infrastructure for First Nations Communities 
View the impact assessment
",,"Working with First Nations communities to support sustainable access to safe drinking water is at the heart of the federal government’s commitment to Indigenous peoples. Since 2015, the government has invested $5.3 billion to build and repair water and wastewater infrastructure and support the effective management and maintenance of water systems.",supporting strong healthy community clean drinking water better infrastructure first nation community view impact assessment,working first nation community support sustainable access safe drinking water heart federal government ’ commitment indigenous people since government invested billion build repair water wastewater infrastructure support effective management maintenance water system
"Chapter 7:
    Moving Forward on Reconciliation",2022,7.2 Supporting Strong and Healthy Communities,"Clean Drinking Water and Better Infrastructure for First Nations Communities 
View the impact assessment
",,"With the support of these investments, since 2015, First Nations have lifted 131 long-term drinking water advisories on public systems on reserves as of March 21, 2022 and initiatives are underway to resolve the remaining 34. In addition, 212 short-term drinking water advisories have been lifted before becoming long-term.",supporting strong healthy community clean drinking water better infrastructure first nation community view impact assessment,support investment since first nation lifted longterm drinking water advisory public system reserve march initiative underway resolve remaining addition shortterm drinking water advisory lifted becoming longterm
"Chapter 7:
    Moving Forward on Reconciliation",2022,7.2 Supporting Strong and Healthy Communities,"Clean Drinking Water and Better Infrastructure for First Nations Communities 
View the impact assessment
",,Source: Indigenous Services Canada,supporting strong healthy community clean drinking water better infrastructure first nation community view impact assessment,source indigenous service canada
"Chapter 7:
    Moving Forward on Reconciliation",2022,7.2 Supporting Strong and Healthy Communities,"Clean Drinking Water and Better Infrastructure for First Nations Communities 
View the impact assessment
",,To accelerate progress to end long-term drinking water advisories and continue addressing critical infrastructure gaps in First Nations communities on reserve:,supporting strong healthy community clean drinking water better infrastructure first nation community view impact assessment,accelerate progress end longterm drinking water advisory continue addressing critical infrastructure gap first nation community reserve
"Chapter 7:
    Moving Forward on Reconciliation",2022,7.2 Supporting Strong and Healthy Communities,"Clean Drinking Water and Better Infrastructure for First Nations Communities 
View the impact assessment
",," 
Budget 2022 proposes to provide $398 million over two years, starting in 2022-23, to Indigenous Services Canada to support community infrastructure on reserve, of which at least $247 million will be directed toward water and wastewater infrastructure.
",supporting strong healthy community clean drinking water better infrastructure first nation community view impact assessment,budget proposes provide million two year starting indigenous service canada support community infrastructure reserve least million directed toward water wastewater infrastructure
"Chapter 7:
    Moving Forward on Reconciliation",2022,7.2 Supporting Strong and Healthy Communities,"Clean Drinking Water and Better Infrastructure for First Nations Communities 
View the impact assessment
",," 
Budget 2022 proposes to provide Indigenous Services Canada with $173.2 million over ten years, starting in 2022-23, to support the transfer of water and wastewater services in 17 communities to the Atlantic First Nations Water Authority. By putting service delivery into the hands of communities themselves, this first-of-its-kind, First Nations-led initiative will help chart the path to self-determination, while strengthening the management of water and wastewater infrastructure on reserves.
",supporting strong healthy community clean drinking water better infrastructure first nation community view impact assessment,budget proposes provide indigenous service canada million ten year starting support transfer water wastewater service community atlantic first nation water authority putting service delivery hand community firstofitskind first nationsled initiative help chart path selfdetermination strengthening management water wastewater infrastructure reserve
"Chapter 7:
    Moving Forward on Reconciliation",2022,7.2 Supporting Strong and Healthy Communities,"Clean Drinking Water and Better Infrastructure for First Nations Communities 
View the impact assessment
",,"Ensuring lasting drinking water and wastewater infrastructure requires a modern and effective regulatory regime. To this end, the government affirms its commitment to repeal the Safe Drinking Water for First Nations Act that has been in place since 2013 and does not meet the needs of First Nations. The federal government will work with First Nations to develop replacement legislation. The government also intends to amend the Income Tax Act to exclude from taxation the income of the Safe Drinking Water Trust established under the Safe Drinking Water Class Action Settlement Agreement.",supporting strong healthy community clean drinking water better infrastructure first nation community view impact assessment,ensuring lasting drinking water wastewater infrastructure requires modern effective regulatory regime end government affirms commitment repeal safe drinking water first nation act place since meet need first nation federal government work first nation develop replacement legislation government also intends amend income tax act exclude taxation income safe drinking water trust established safe drinking water class action settlement agreement
"Chapter 7:
    Moving Forward on Reconciliation",2022,7.2 Supporting Strong and Healthy Communities,"Clean Drinking Water and Better Infrastructure for First Nations Communities 
View the impact assessment
",,"In 2018, Lubicon Lake Band and the governments of Canada and Alberta signed a settlement to resolve the First Nation’s longstanding claim that included an agreement to support new community infrastructure.",supporting strong healthy community clean drinking water better infrastructure first nation community view impact assessment,lubicon lake band government canada alberta signed settlement resolve first nation ’ longstanding claim included agreement support new community infrastructure
"Chapter 7:
    Moving Forward on Reconciliation",2022,7.2 Supporting Strong and Healthy Communities,"Clean Drinking Water and Better Infrastructure for First Nations Communities 
View the impact assessment
",," 
Budget 2022 proposes to provide $162.6 million over three years, starting in 2022-23, to enable the completion of required infrastructure with respect to the Lubicon Lake Band settlement agreement.
",supporting strong healthy community clean drinking water better infrastructure first nation community view impact assessment,budget proposes provide million three year starting enable completion required infrastructure respect lubicon lake band settlement agreement
"Chapter 7:
    Moving Forward on Reconciliation",2022,7.2 Supporting Strong and Healthy Communities,"Investing in Housing for Indigenous Communities 
View the impact assessment
",,Access to safe and affordable housing is critical to improving health and social outcomes and to ensuring a better future for Indigenous communities and children. That is why the federal government has committed more than $2.7 billion to support housing in Indigenous communities since 2015.,supporting strong healthy community investing housing indigenous community view impact assessment,access safe affordable housing critical improving health social outcome ensuring better future indigenous community child federal government committed billion support housing indigenous community since
