agreement,year,provisionNum,part,section,provisionText
Anishinabek Nation Governance Agreement,2019,0,Table of contents,,"Ratification

Eligible Voter
General Principles
Ballot Question
Ratification Threshold
Ratification Committee
Communicating Results of the First Nations' Votes
Ratification by Canada
Consultation on Federal Legislation

"
Anishinabek Nation Governance Agreement,2019,0,Table of contents,,Eligible Voter
Anishinabek Nation Governance Agreement,2019,0,Table of contents,,General Principles
Anishinabek Nation Governance Agreement,2019,0,Table of contents,,Ballot Question
Anishinabek Nation Governance Agreement,2019,0,Table of contents,,Ratification Threshold
Anishinabek Nation Governance Agreement,2019,0,Table of contents,,Ratification Committee
Anishinabek Nation Governance Agreement,2019,0,Table of contents,,Communicating Results of the First Nations' Votes
Anishinabek Nation Governance Agreement,2019,0,Table of contents,,Ratification by Canada
Anishinabek Nation Governance Agreement,2019,0,Table of contents,,Consultation on Federal Legislation
Anishinabek Nation Governance Agreement,2019,0,Table of contents,,"Chapter 16

Implementation

Shared Commitment of the Parties
Term of the Implementation Plan
The Implementation Plan
Status of the Implementation Plan
Establishment and Role of the Implementation and Operations Committee



"
Anishinabek Nation Governance Agreement,2019,0,Table of contents,,"Implementation

Shared Commitment of the Parties
Term of the Implementation Plan
The Implementation Plan
Status of the Implementation Plan
Establishment and Role of the Implementation and Operations Committee

"
Anishinabek Nation Governance Agreement,2019,0,Table of contents,,Shared Commitment of the Parties
Anishinabek Nation Governance Agreement,2019,0,Table of contents,,Term of the Implementation Plan
Anishinabek Nation Governance Agreement,2019,0,Table of contents,,The Implementation Plan
Anishinabek Nation Governance Agreement,2019,0,Table of contents,,Status of the Implementation Plan
Anishinabek Nation Governance Agreement,2019,0,Table of contents,,Establishment and Role of the Implementation and Operations Committee
Anishinabek Nation Governance Agreement,2019,0,Table of contents,,"Chapter 17

Dispute Resolution

General
Roster of Mediators and Arbitrators
Notice
Collaborative Negotiations
Mediation
Arbitration
Costs of Mediation or Arbitration
Excluded Disputes
Continuing Obligations



"
Anishinabek Nation Governance Agreement,2019,0,Table of contents,,"Dispute Resolution

General
Roster of Mediators and Arbitrators
Notice
Collaborative Negotiations
Mediation
Arbitration
Costs of Mediation or Arbitration
Excluded Disputes
Continuing Obligations

"
Anishinabek Nation Governance Agreement,2019,0,Table of contents,,General
Anishinabek Nation Governance Agreement,2019,0,Table of contents,,Roster of Mediators and Arbitrators
Anishinabek Nation Governance Agreement,2019,0,Table of contents,,Notice
Anishinabek Nation Governance Agreement,2019,0,Table of contents,,Collaborative Negotiations
Anishinabek Nation Governance Agreement,2019,0,Table of contents,,Mediation
Anishinabek Nation Governance Agreement,2019,0,Table of contents,,Arbitration
Anishinabek Nation Governance Agreement,2019,0,Table of contents,,Costs of Mediation or Arbitration
Anishinabek Nation Governance Agreement,2019,0,Table of contents,,Excluded Disputes
Anishinabek Nation Governance Agreement,2019,0,Table of contents,,Continuing Obligations
Anishinabek Nation Governance Agreement,2019,0,Table of contents,,"Chapter 18

Province of Ontario

"
Anishinabek Nation Governance Agreement,2019,0,Table of contents,,Province of Ontario
Anishinabek Nation Governance Agreement,2019,0,Table of contents,,"Chapter 19

Other Provisions

Entire Agreement
No Implied Waiver
Service of Notice
No Assignment
Enurement
Severability
Counterparts



"
Anishinabek Nation Governance Agreement,2019,0,Table of contents,,"Other Provisions

Entire Agreement
No Implied Waiver
Service of Notice
No Assignment
Enurement
Severability
Counterparts

"
Anishinabek Nation Governance Agreement,2019,0,Table of contents,,Entire Agreement
Anishinabek Nation Governance Agreement,2019,0,Table of contents,,No Implied Waiver
Anishinabek Nation Governance Agreement,2019,0,Table of contents,,Service of Notice
Anishinabek Nation Governance Agreement,2019,0,Table of contents,,No Assignment
Anishinabek Nation Governance Agreement,2019,0,Table of contents,,Enurement
Anishinabek Nation Governance Agreement,2019,0,Table of contents,,Severability
Anishinabek Nation Governance Agreement,2019,0,Table of contents,,Counterparts
Anishinabek Nation Governance Agreement,2019,0,Table of contents,,"Chapter 20

Schedules

"
Anishinabek Nation Governance Agreement,2019,0,Table of contents,,Schedules
Anishinabek Nation Governance Agreement,2019,0,Table of contents,,Signatures
Anishinabek Nation Governance Agreement,2019,0,Table of contents,,Schedule A
Anishinabek Nation Governance Agreement,2019,0,Table of contents,,"Schedule B

Anishinabek Nation - Canada Intergovernmental Forum
Terms of Reference

"
Anishinabek Nation Governance Agreement,2019,0,Table of contents,,Anishinabek Nation - Canada Intergovernmental Forum
Anishinabek Nation Governance Agreement,2019,0,Table of contents,,Terms of Reference
Anishinabek Nation Governance Agreement,2019,0,Preamble,"Ngo Dwe Waangizid Anishinaabe
      One Anishinaabe Family",(Preamble to the Anishinaabe Chi-Naaknigewin)
Anishinabek Nation Governance Agreement,2019,0,Preamble,"Ngo Dwe Waangizid Anishinaabe
      One Anishinaabe Family",Debenjiged gii'saan anishinaaben akiing giibi dgwon gaadeni mnidoo waadiziwin.
Anishinabek Nation Governance Agreement,2019,0,Preamble,"Ngo Dwe Waangizid Anishinaabe
      One Anishinaabe Family",Creator placed the Anishinaabe on the earth along with the gift of spirituality.
Anishinabek Nation Governance Agreement,2019,0,Preamble,"Ngo Dwe Waangizid Anishinaabe
      One Anishinaabe Family","Shkode, nibi, aki, noodin, giibi dgosdoonan wii naagdowendmang maanpii shkagmigaang."
Anishinabek Nation Governance Agreement,2019,0,Preamble,"Ngo Dwe Waangizid Anishinaabe
      One Anishinaabe Family","Here on mother earth, there were gifts given to the Anishinaabe to look after, fire, water, earth and wind."
Anishinabek Nation Governance Agreement,2019,0,Preamble,"Ngo Dwe Waangizid Anishinaabe
      One Anishinaabe Family",Debenjiged gii miinaan gechtwaa wendaagog Anishinaaben waa naagdoonjin ninda niizhwaaswi kino maadwinan.
Anishinabek Nation Governance Agreement,2019,0,Preamble,"Ngo Dwe Waangizid Anishinaabe
      One Anishinaabe Family",The Creator also gave the Anishinaabe seven sacred gifts to guide them.
Anishinabek Nation Governance Agreement,2019,0,Preamble,"Ngo Dwe Waangizid Anishinaabe
      One Anishinaabe Family",They are:
Anishinabek Nation Governance Agreement,2019,0,Preamble,"Ngo Dwe Waangizid Anishinaabe
      One Anishinaabe Family","Zaagidwin, Debwewin, Mnaadendmowin, Nbwaakaawin, Dbaadendiziwin, Gwekwaadziwin miinwa Aakedhewin."
Anishinabek Nation Governance Agreement,2019,0,Preamble,"Ngo Dwe Waangizid Anishinaabe
      One Anishinaabe Family","Love, Truth, Respect, Wisdom, Humility, Honesty and Bravery."
Anishinabek Nation Governance Agreement,2019,0,Preamble,"Ngo Dwe Waangizid Anishinaabe
      One Anishinaabe Family",Debenjiged kiimiingona dedbinwe wi naagdowendiwin.
Anishinabek Nation Governance Agreement,2019,0,Preamble,"Ngo Dwe Waangizid Anishinaabe
      One Anishinaabe Family",Creator gave us sovereignty to govern ourselves.
Anishinabek Nation Governance Agreement,2019,0,Preamble,"Ngo Dwe Waangizid Anishinaabe
      One Anishinaabe Family","Ka mnaadendanaa gaabi zhiwebag miinwaa nango megwaa ezhwebag, miinwa geyaabi waa ni zhiwebag."
Anishinabek Nation Governance Agreement,2019,0,Preamble,"Ngo Dwe Waangizid Anishinaabe
      One Anishinaabe Family","We respect and honour the past, present and future."
Anishinabek Nation Governance Agreement,2019,0,Preamble,"Ngo Dwe Waangizid Anishinaabe
      One Anishinaabe Family","Whereas the First Nations assert that, together as aboriginal peoples of the Ojibway, Chippewa, Odawa, Pottowatomi, Algonquin, Nipissing, Delaware and Mississauga Tribal Nations who share a sense of aboriginal identity and spirituality and are united through historic origin, values, language, traditions and culture, they are among the First Nations comprising the Anishinabek Nation"
Anishinabek Nation Governance Agreement,2019,0,Preamble,"Ngo Dwe Waangizid Anishinaabe
      One Anishinaabe Family","Whereas the First Nations assert that their Tribal Nations maintained self-sufficient governments with sustainable economies, distinctive languages, powerful spirituality and diverse cultures within a defined territory which pre-existed the establishment of Canada and that these Tribal Nations continue to exist"
Anishinabek Nation Governance Agreement,2019,0,Preamble,"Ngo Dwe Waangizid Anishinaabe
      One Anishinaabe Family",Whereas the First Nations assert that they have a sacred duty to ensure the well-being of the people to the Seventh Generation and that it is incumbent upon the leadership of the First Nations to ensure this sacred duty is honoured
Anishinabek Nation Governance Agreement,2019,0,Preamble,"Ngo Dwe Waangizid Anishinaabe
      One Anishinaabe Family","Whereas the special and historic relationship between aboriginal peoples and Canada is evidenced by, among other things, the treaties and this relationship continues and it is recognized in the Constitution of Canada"
Anishinabek Nation Governance Agreement,2019,0,Preamble,"Ngo Dwe Waangizid Anishinaabe
      One Anishinaabe Family",Whereas Canada recognizes the importance of strengthening its relationships with First Nations
Anishinabek Nation Governance Agreement,2019,0,Preamble,"Ngo Dwe Waangizid Anishinaabe
      One Anishinaabe Family",Whereas the Parties recognize and respect the solemn and enduring nature of the treaties and the importance to Canada and the First Nations of honouring the treaties
Anishinabek Nation Governance Agreement,2019,0,Preamble,"Ngo Dwe Waangizid Anishinaabe
      One Anishinaabe Family","Whereas the existing aboriginal and treaty rights of the aboriginal peoples of Canada are recognized and affirmed by section 35 of the Constitution Act, 1982"
Anishinabek Nation Governance Agreement,2019,0,Preamble,"Ngo Dwe Waangizid Anishinaabe
      One Anishinaabe Family","Whereas Canada recognizes the inherent right of self-government as an existing aboriginal right within section 35 of the Constitution Act, 1982"
Anishinabek Nation Governance Agreement,2019,0,Preamble,"Ngo Dwe Waangizid Anishinaabe
      One Anishinaabe Family","Whereas Canada's recognition of the inherent right of self-government as an existing aboriginal right within section 35 of the Constitution Act, 1982 is based on the view that the aboriginal peoples of Canada have the right to govern themselves and to make their own decisions in relation to matters that are integral to their unique cultures, identities, traditions, languages and institutions and with respect to their special relationship to their land and their resources"
Anishinabek Nation Governance Agreement,2019,0,Preamble,"Ngo Dwe Waangizid Anishinaabe
      One Anishinaabe Family",Whereas the Parties acknowledge that an assertion by 1 Party is an expression of that Party's position and does not represent acceptance of that position by the other Parties to the negotiations
Anishinabek Nation Governance Agreement,2019,0,Preamble,"Ngo Dwe Waangizid Anishinaabe
      One Anishinaabe Family",Whereas the First Nations were represented by the Union of Ontario Indians in the negotiation of this Agreement
Anishinabek Nation Governance Agreement,2019,0,Preamble,"Ngo Dwe Waangizid Anishinaabe
      One Anishinaabe Family","Therefore, the First Nations, the Anishinabek Nation and Canada agree as follows:"
Anishinabek Nation Governance Agreement,2019,1.1,Chapter 1,Definitions,The following definitions apply in this Agreement:
Anishinabek Nation Governance Agreement,2019,1.1,Chapter 1,Definitions,"""Agreement"" means this Anishinabek Nation Governance Agreement"
Anishinabek Nation Governance Agreement,2019,1.1,Chapter 1,Definitions,"""Anishinaabe Institution"" means a government institution established pursuant to a First Nation law or other authority, or an Anishinabek Nation law or other authority under this Agreement"
Anishinabek Nation Governance Agreement,2019,1.1,Chapter 1,Definitions,"""Anishinabek Nation"" means the collectivity of First Nations set out in Schedule A of this Agreement"
Anishinabek Nation Governance Agreement,2019,1.1,Chapter 1,Definitions,"""Anishinabek Nation Education Agreement"" means the education agreement between the First Nations of that agreement and Canada"
Anishinabek Nation Governance Agreement,2019,1.1,Chapter 1,Definitions,"""Anishinabek Nation Fiscal Agreement"" means the agreement described in Chapter 8 of this Agreement"
Anishinabek Nation Governance Agreement,2019,1.1,Chapter 1,Definitions,"""Anishinabek Nation Government"" means the government of the Anishinabek Nation represented by the Grand Council"
Anishinabek Nation Governance Agreement,2019,1.1,Chapter 1,Definitions,"""Conflict"" means an actual conflict in operation or operational incompatibility"
Anishinabek Nation Governance Agreement,2019,1.1,Chapter 1,Definitions,"""Decision"" means a decision made by a First Nation Government, the Anishinabek Nation Government or an Anishinaabe Institution pursuant to an exercise of law-making power or other authority under this Agreement"
Anishinabek Nation Governance Agreement,2019,1.1,Chapter 1,Definitions,"""Deputy Grand Council Ogiimah"" means a Deputy Grand Council Chief of the Anishinabek Nation"
Anishinabek Nation Governance Agreement,2019,1.1,Chapter 1,Definitions,"""Deputy Grand Council Ogiimak"" means the Deputy Grand Council Chiefs of the Anishinabek Nation"
Anishinabek Nation Governance Agreement,2019,1.1,Chapter 1,Definitions,"""E'Dbendaagzijig"" means a person who is a citizen of a First Nation as defined in that First Nation's E'Dbendaagzijig law"
Anishinabek Nation Governance Agreement,2019,1.1,Chapter 1,Definitions,"""Effective Date"" means the date that this Agreement comes into legal effect under federal legislation"
Anishinabek Nation Governance Agreement,2019,1.1,Chapter 1,Definitions,"""Federally Supported Programs and Services"" means the list of programs and services described in the Anishinabek Nation Fiscal Agreement"
Anishinabek Nation Governance Agreement,2019,1.1,Chapter 1,Definitions,"""First Nation"" means, depending on the context, a First Nation who:"
Anishinabek Nation Governance Agreement,2019,1.1(a),Chapter 1,Definitions,"is a Party to this Agreement as set out in Schedule A
          or"
Anishinabek Nation Governance Agreement,2019,1.1(b),Chapter 1,Definitions,"is a ""band"" for the purposes of the continuing application of the Indian Act"
Anishinabek Nation Governance Agreement,2019,1.1,Chapter 1,Definitions,"""First Nations' Fiscal Contribution"" means the amount determined pursuant to the formula set out in the Anishinabek Nation Fiscal Agreement and used in the calculation of the Transfer Payment"
Anishinabek Nation Governance Agreement,2019,1.1,Chapter 1,Definitions,"""First Nation Government"" means the government of a First Nation represented by its Ogiimah and council"
Anishinabek Nation Governance Agreement,2019,1.1,Chapter 1,Definitions,"""Generally Accepted Accounting Principles"" means the accounting principles generally accepted in Canada from time to time, and, where the Chartered Professional Accountants of Canada or its successor publishes a statement of a principle or an accounting guideline, including the CPA Canada Public Sector Accounting Handbook, that statement or guideline will be considered conclusively to be an accounting principle or guideline generally accepted in Canada"
Anishinabek Nation Governance Agreement,2019,1.1,Chapter 1,Definitions,"""Grand Council"" means the law-making body of the Anishinabek Nation and is comprised of a Grand Council Ogiimah, Deputy Grand Council Ogiimak and a representative of each First Nation of the Anishinabek Nation, all of whom must be E'Dbendaagzijig of the Anishinabek Nation"
Anishinabek Nation Governance Agreement,2019,1.1,Chapter 1,Definitions,"""Grand Council Ogiimah"" means the Grand Council Chief of the Anishinabek Nation"
Anishinabek Nation Governance Agreement,2019,1.1,Chapter 1,Definitions,"""Implementation and Operations Committee"" means the committee established pursuant to Chapter 16 of this Agreement"
Anishinabek Nation Governance Agreement,2019,1.1,Chapter 1,Definitions,"""Implementation Plan"" means the plan described in Chapter 16 of this Agreement"
Anishinabek Nation Governance Agreement,2019,1.1,Chapter 1,Definitions,"""Intellectual Property"" means any intangible property right resulting from intellectual activity in the industrial, scientific, literary, or artistic fields, including any right relating to patents, copyrights, trademarks, industrial designs or plant breeders' rights"
Anishinabek Nation Governance Agreement,2019,1.1,Chapter 1,Definitions,"""International Legal Obligation"" means an obligation binding on Canada under international law, including an obligation that is in force on or after the Effective Date"
Anishinabek Nation Governance Agreement,2019,1.1,Chapter 1,Definitions,"""International Treaty"" means an international agreement concluded:"
Anishinabek Nation Governance Agreement,2019,1.1(a),Chapter 1,Definitions,"between states
          or"
Anishinabek Nation Governance Agreement,2019,1.1(b),Chapter 1,Definitions,"between one or more states and one or more international organizations
          in written form and governed by international law, whether embodied in a single instrument or in 2 or more related instruments and whatever its particular designation"
