Agreement,Year,Part,Section,Provision Reference,Provision Text,search_text
First Nation of Nacho Nyak Dun Final Agreement,1993,Chapter 1 - Definitions,,,"""Bed"" of a body of water means the land covered so long by water as to mark it from vegetation, or as to mark a distinct character upon the vegetation where it extends into the water or upon the soil itself.",definition bed body water mean land covered long water mark vegetation mark distinct character upon vegetation extends water upon soil
First Nation of Nacho Nyak Dun Final Agreement,1993,Chapter 1 - Definitions,,,"""Category A Settlement Land"" means land which has been identified pursuant to 5.3.1, declared pursuant to 5.12.1.1, or designated pursuant to 7.5.2.8 (a) to be Category A Settlement Land and which has not ceased to be Settlement Land in accordance with 5.11.0.",definition category settlement land mean land identified pursuant declared pursuant designated pursuant category settlement land ceased settlement land accordance
First Nation of Nacho Nyak Dun Final Agreement,1993,Chapter 1 - Definitions,,,"""Category B Settlement Land"" means land which has been identified pursuant to 5.3.1, declared pursuant to 5.12.1.2, or designated pursuant to 7.5.2.8 (b) to be Category B Settlement Land and which has not ceased to be Settlement Land in accordance with 5.11.0.",definition category b settlement land mean land identified pursuant declared pursuant designated pursuant b category b settlement land ceased settlement land accordance
First Nation of Nacho Nyak Dun Final Agreement,1993,Chapter 1 - Definitions,,,Specific Provision,definition specific provision
First Nation of Nacho Nyak Dun Final Agreement,1993,Chapter 1 - Definitions,,,"""Chief"" has the same meaning as in the First Nation of Nacho Nyak Dun Constitution.",definition chief meaning nacho nyak dun constitution
First Nation of Nacho Nyak Dun Final Agreement,1993,Chapter 1 - Definitions,,,"""Community Boundary"" means:",definition community boundary mean
First Nation of Nacho Nyak Dun Final Agreement,1993,Chapter 1 - Definitions,,(a),"for a municipality or hamlet designated under the Municipal Act, R.S.Y. 1986, c. 119, the boundary as set out in that Act; and",definition municipality hamlet designated municipal act rsy c boundary set act
First Nation of Nacho Nyak Dun Final Agreement,1993,Chapter 1 - Definitions,,(b),"for a community not so designated, until such time as the community is designated a municipality or hamlet pursuant to the Municipal Act, R.S.Y. 1986, c. 119, the boundary as set out in the Yukon First Nation Final Agreement of that Yukon First Nation in whose Traditional Territory the community is located.",definition community designated time community designated municipality hamlet pursuant municipal act rsy c boundary set yukon final agreement yukon whose traditional territory community located
First Nation of Nacho Nyak Dun Final Agreement,1993,Chapter 1 - Definitions,,,"""Conservation"" means the management of Fish and Wildlife populations and habitats and the regulation of users to ensure the quality, diversity and Long Term Optimum Productivity of Fish and Wildlife populations, with the primary goal of ensuring a sustainable harvest and its proper utilization.",definition conservation mean management fish wildlife population habitat regulation user ensure quality diversity long term optimum productivity fish wildlife population primary goal ensuring sustainable harvest proper utilization
First Nation of Nacho Nyak Dun Final Agreement,1993,Chapter 1 - Definitions,,,"""Construction Materials"" includes rock, gravel, sand, marl, clay, earth, silt, pumice, volcanic ash, and materials derived there from or occurring as a constituent part thereof used in the construction and maintenance of public roads and other public works. ""Consult"" or ""Consultation"" means to provide:",definition construction material includes rock gravel sand marl clay earth silt pumice volcanic ash material derived occurring constituent thereof used construction maintenance public road public work consult consultation mean provide
First Nation of Nacho Nyak Dun Final Agreement,1993,Chapter 1 - Definitions,,(a),"to the party to be consulted, notice of a matter to be decided in sufficient form and detail to allow that party to prepare its views on the matter;",definition party consulted notice matter decided sufficient form detail allow party prepare view matter
First Nation of Nacho Nyak Dun Final Agreement,1993,Chapter 1 - Definitions,,(b),"a reasonable period of time in which the party to be consulted may prepare its views on the matter, and an opportunity to present such views to the party obliged to consult; and",definition reasonable period time party consulted may prepare view matter opportunity present view party obliged consult
First Nation of Nacho Nyak Dun Final Agreement,1993,Chapter 1 - Definitions,,(c),full and fair consideration by the party obliged to consult of any views presented.,definition full fair consideration party obliged consult view presented
First Nation of Nacho Nyak Dun Final Agreement,1993,Chapter 1 - Definitions,,,"""Council for Yukon Indians"" includes any successor to the Council for Yukon Indians and, in the absence of any successor, the Yukon First Nations.",definition council yukon indian includes successor council yukon indian absence successor yukon nation
First Nation of Nacho Nyak Dun Final Agreement,1993,Chapter 1 - Definitions,,,"""Crown Land"" means land vested from time to time in Her Majesty in Right of Canada, whether the administration and control thereof is appropriated to the Commissioner of the Yukon or not, but does not include Settlement Land.",definition crown land mean land vested time time majesty right canada whether administration control thereof appropriated commissioner yukon include settlement land
First Nation of Nacho Nyak Dun Final Agreement,1993,Chapter 1 - Definitions,,,"""Decision Body"" means the Government, a Yukon First Nation or both as determined by applying the same test set out in 12.13.0 for determination of the requirement to issue a Decision Document.",definition decision body mean government yukon determined applying test set determination requirement issue decision document
First Nation of Nacho Nyak Dun Final Agreement,1993,Chapter 1 - Definitions,,,"""Decision Document"" means the document issued by the Decision Body pursuant to 12.6.3 or 12.12.1.",definition decision document mean document issued decision body pursuant
First Nation of Nacho Nyak Dun Final Agreement,1993,Chapter 1 - Definitions,,,"""Designated Heritage Site"" means a Heritage Site designated as such pursuant to Laws of General Application.",definition designated heritage site mean heritage site designated pursuant law general application
First Nation of Nacho Nyak Dun Final Agreement,1993,Chapter 1 - Definitions,,,"""Developed Settlement Land"" means any Parcel of Settlement Land designated as Developed Settlement Land in a Yukon First Nation Final Agreement or pursuant to 6.1.8 or 7.5.2.9.",definition developed settlement land mean parcel settlement land designated developed settlement land yukon final agreement pursuant
First Nation of Nacho Nyak Dun Final Agreement,1993,Chapter 1 - Definitions,,,"""Documentary Heritage Resources"" means Public Records or Non-Public Records, regardless of physical form or characteristics, that are of heritage significance, including correspondence, memoranda, books, plans, maps, drawings, diagrams, pictorial or graphic works, photographs, films, microforms, sound recordings, videotapes, machinereadable records, and any copy thereof.",definition documentary heritage resource mean public record nonpublic record regardless physical form characteristic heritage significance including correspondence memoranda book plan map drawing diagram pictorial graphic work photograph film microforms sound recording videotape machinereadable record copy thereof
First Nation of Nacho Nyak Dun Final Agreement,1993,Chapter 1 - Definitions,,,"""Effective Date"" means the date on which a Yukon First Nation's Final Agreement takes effect.",definition effective date mean date yukon nation final agreement take effect
First Nation of Nacho Nyak Dun Final Agreement,1993,Chapter 1 - Definitions,,,"""Encumbering Right"" means every licence, permit or other right, and every right, title or interest described in 5.4.2.",definition encumbering right mean every licence permit right every right title interest described
First Nation of Nacho Nyak Dun Final Agreement,1993,Chapter 1 - Definitions,,,"""Existing Mineral Right"" means a Mineral Right, other than a right to locate a claim or an unrecorded right to explore for Minerals other than Petroleum, existing at the date the affected land became Settlement Land and includes any renewal or replacement of such a Mineral Right or a new right described in 5.4.2.4.",definition existing mineral right mean mineral right right locate claim unrecorded right explore mineral petroleum existing date affected land became settlement land includes renewal replacement mineral right new right described
First Nation of Nacho Nyak Dun Final Agreement,1993,Chapter 1 - Definitions,,,"""Exotic Species"" means a vertebrate animal of any species or sub-species that is not indigenous to the Yukon.",definition exotic specie mean vertebrate animal specie subspecies indigenous yukon
First Nation of Nacho Nyak Dun Final Agreement,1993,Chapter 1 - Definitions,,,"""Fee Simple Settlement Land"" means land which has been identified pursuant to 5.3.1, declared pursuant to 5.12.1.3, or designated pursuant to 7.5.2.8 (b) to be Fee Simple Settlement Land and which has not ceased to be Settlement Land in accordance with 5.11.0.",definition fee simple settlement land mean land identified pursuant declared pursuant designated pursuant b fee simple settlement land ceased settlement land accordance
First Nation of Nacho Nyak Dun Final Agreement,1993,Chapter 1 - Definitions,,,Specific Provision,definition specific provision
First Nation of Nacho Nyak Dun Final Agreement,1993,Chapter 1 - Definitions,,,"""First Nation Council of Nacho Nyak Dun"" has the same meaning as ""First Nation Council"" in the First Nation of Nacho Nyak Dun Constitution.",definition council nacho nyak dun meaning council nacho nyak dun constitution
First Nation of Nacho Nyak Dun Final Agreement,1993,Chapter 1 - Definitions,,,"""First Nation of Nacho Nyak Dun Constitution"" has the same meaning as ""Constitution"" in the First Nation of Nacho Nyak Dun self-government agreement.",definition nacho nyak dun constitution meaning constitution nacho nyak dun selfgovernment agreement
First Nation of Nacho Nyak Dun Final Agreement,1993,Chapter 1 - Definitions,,,"""Fish"" includes:",definition fish includes
First Nation of Nacho Nyak Dun Final Agreement,1993,Chapter 1 - Definitions,,(a),portions of fish;,definition portion fish
First Nation of Nacho Nyak Dun Final Agreement,1993,Chapter 1 - Definitions,,(b),"shellfish, crustaceans, marine animals, marine plants and portions thereof;",definition shellfish crustacean marine animal marine plant portion thereof
First Nation of Nacho Nyak Dun Final Agreement,1993,Chapter 1 - Definitions,,(c),"the eggs, spawn, larvae, spat and juvenile stages of fish, shellfish, crustaceans and marine animals; and",definition egg spawn larva spat juvenile stage fish shellfish crustacean marine animal
First Nation of Nacho Nyak Dun Final Agreement,1993,Chapter 1 - Definitions,,(d),"such fish products and by-products as are prescribed pursuant to section 34 of the Fisheries Act, R.S.C. 1985, c. F-14.",definition fish product byproduct prescribed pursuant fishery act rsc c f
First Nation of Nacho Nyak Dun Final Agreement,1993,Chapter 1 - Definitions,,,"""Flooding Right"" means the right to expropriate, provided by Laws of General Application and the Umbrella Final Agreement, for constructing, maintaining and operating a hydro-electric or water storage facility.",definition flooding right mean right expropriate provided law general application umbrella final agreement constructing maintaining operating hydroelectric water storage facility
First Nation of Nacho Nyak Dun Final Agreement,1993,Chapter 1 - Definitions,,,"""Freshwater Fish"" means all Fish found in the Yukon other than Salmon, but does not include Exotic Species or Transplanted Population, unless otherwise agreed by the parties to a Yukon First Nation Final Agreement.",definition freshwater fish mean fish found yukon salmon include exotic specie transplanted population unless otherwise agreed party yukon final agreement
First Nation of Nacho Nyak Dun Final Agreement,1993,Chapter 1 - Definitions,,,"""Gas"" means natural gas and includes all substances other than Oil that are produced in association with natural gas.",definition gas mean natural gas includes substance oil produced association natural gas
First Nation of Nacho Nyak Dun Final Agreement,1993,Chapter 1 - Definitions,,,"""Government"" means Canada or the Yukon, or both, depending upon which government or governments have responsibility, from time to time, for the matter in question.",definition government mean canada yukon depending upon government government responsibility time time matter question
First Nation of Nacho Nyak Dun Final Agreement,1993,Chapter 1 - Definitions,,,Specific Provision,definition specific provision
First Nation of Nacho Nyak Dun Final Agreement,1993,Chapter 1 - Definitions,,,"""Gwich'in Transboundary Agreement"" means Appendix C to the Gwich'in Final Agreement.",definition gwichin transboundary agreement mean appendix c gwichin final agreement
First Nation of Nacho Nyak Dun Final Agreement,1993,Chapter 1 - Definitions,,,"""Gwich'in Tribal Council"" has the same meaning as in the Gwich'in Transboundary Agreement.",definition gwichin tribal council meaning gwichin transboundary agreement
First Nation of Nacho Nyak Dun Final Agreement,1993,Chapter 1 - Definitions,,,"""Harvesting"" means gathering, hunting, trapping or fishing in accordance with a Settlement Agreement.",definition harvesting mean gathering hunting trapping fishing accordance settlement agreement
First Nation of Nacho Nyak Dun Final Agreement,1993,Chapter 1 - Definitions,,,"""Heritage Resources"" includes Moveable Heritage Resources, Heritage Sites and Documentary Heritage Resources.",definition heritage resource includes moveable heritage resource heritage site documentary heritage resource
First Nation of Nacho Nyak Dun Final Agreement,1993,Chapter 1 - Definitions,,,"""Heritage Site"" means an area of land which contains Moveable Heritage Resources, or which is of value for aesthetic or cultural reasons.",definition heritage site mean area land contains moveable heritage resource value aesthetic cultural reason
First Nation of Nacho Nyak Dun Final Agreement,1993,Chapter 1 - Definitions,,,"""Land Set Aside"" means land in the Yukon reserved or set aside by notation in the property records of the Northern Affairs Program, Department of Indian Affairs and Northern Development, for the use of the Indian and Inuit Program for Yukon Indian People.",definition land set aside mean land yukon reserved set aside notation property record northern affair program department indian affair northern development use indian inuit program yukon indian people
First Nation of Nacho Nyak Dun Final Agreement,1993,Chapter 1 - Definitions,,,"""Law"" includes common law.",definition law includes common law
First Nation of Nacho Nyak Dun Final Agreement,1993,Chapter 1 - Definitions,,,"""Laws of General Application"" means laws of general application as defined by common law.",definition law general application mean law general application defined common law
First Nation of Nacho Nyak Dun Final Agreement,1993,Chapter 1 - Definitions,,,"""Legislation"" includes Acts, Regulations, orders-in-council and bylaws.",definition legislation includes act regulation ordersincouncil bylaw
First Nation of Nacho Nyak Dun Final Agreement,1993,Chapter 1 - Definitions,,,"""Legislative Assembly"" means the Council of the Yukon Territory as defined in the Yukon Act, R.S.C. 1985, c. Y-2.",definition legislative assembly mean council yukon territory defined yukon act rsc c
First Nation of Nacho Nyak Dun Final Agreement,1993,Chapter 1 - Definitions,,,"""Local Government Services"" means those services generally supplied by local government, including but not limited to recreational facilities, water, sewage, waste disposal, and road maintenance.",definition local government service mean service generally supplied local government including limited recreational facility water sewage waste disposal road maintenance
First Nation of Nacho Nyak Dun Final Agreement,1993,Chapter 1 - Definitions,,,"""Long Term Optimum Productivity"" means the productivity required to ensure the long term continuation of a species or population while providing for the needs of Yukon Indian People and other harvesters and non-consumptive users of Fish and Wildlife in the short term.",definition long term optimum productivity mean productivity required ensure long term continuation specie population providing need yukon indian people harvester nonconsumptive user fish wildlife short term
First Nation of Nacho Nyak Dun Final Agreement,1993,Chapter 1 - Definitions,,,"""Major Highway"" means a highway listed in Schedule A of Chapter 15 - Definitions of Boundaries and Measurement of Areas of Settlement Land.",definition major highway mean highway listed schedule definition boundary measurement area settlement land
First Nation of Nacho Nyak Dun Final Agreement,1993,Chapter 1 - Definitions,,,"""Migratory Game Birds"" has the same meaning as in the Migratory Birds Convention Act, R.S.C. 1985, c. M-7.",definition migratory game bird meaning migratory bird convention act rsc c
First Nation of Nacho Nyak Dun Final Agreement,1993,Chapter 1 - Definitions,,,"""Mineral Right"" means any licence, permit or other right to explore for, locate, develop, produce or transport any Minerals other than Specified Substances and to enter on land for those purposes.",definition mineral right mean licence permit right explore locate develop produce transport mineral specified substance enter land purpose
First Nation of Nacho Nyak Dun Final Agreement,1993,Chapter 1 - Definitions,,,"""Minerals"" means precious and base metals and other non-living, naturally occurring substances, whether solid, liquid or gaseous, and includes coal, Petroleum and Specified Substances.",definition mineral mean precious base metal nonliving naturally occurring substance whether solid liquid gaseous includes coal petroleum specified substance
First Nation of Nacho Nyak Dun Final Agreement,1993,Chapter 1 - Definitions,,,"""Mines"" means mines, opened and unopened.",definition mine mean mine opened unopened
First Nation of Nacho Nyak Dun Final Agreement,1993,Chapter 1 - Definitions,,,"""Minister"" means the Minister or Ministers of Government charged by Legislation with the responsibility, from time to time, for the exercise of powers in relation to the matter in question.",definition minister mean minister minister government charged legislation responsibility time time exercise power relation matter question
First Nation of Nacho Nyak Dun Final Agreement,1993,Chapter 1 - Definitions,,,"""Moveable Heritage Resources"" means moveable non-documentary works or assemblies of works of people or of nature that are of scientific or cultural value for their archaeological, palaeontological, ethnological, prehistoric, historic or aesthetic features, including moveable structures and objects.",definition moveable heritage resource mean moveable nondocumentary work assembly work people nature scientific cultural value archaeological palaeontological ethnological prehistoric historic aesthetic feature including moveable structure object
First Nation of Nacho Nyak Dun Final Agreement,1993,Chapter 1 - Definitions,,,Specific Provision,definition specific provision
First Nation of Nacho Nyak Dun Final Agreement,1993,Chapter 1 - Definitions,,,"""Nacho Nyak Dun"" means a person, or persons, enrolled under this Agreement in accordance with the criteria established in Chapter 3 - Eligibility and Enrollment.",definition nacho nyak dun mean person person enrolled agreement accordance criterion established eligibility enrollment
First Nation of Nacho Nyak Dun Final Agreement,1993,Chapter 1 - Definitions,,,"""Nacho Nyak Dun Firm"" means an entity which complies with the legal requirements to carry on business in the Yukon and which is either:",definition nacho nyak dun firm mean entity complies legal requirement carry business yukon either
First Nation of Nacho Nyak Dun Final Agreement,1993,Chapter 1 - Definitions,,(a),a corporation with more than 50 percent of the corporation's voting shares beneficially owned by Nacho Nyak Dun or the First Nation of Nacho Nyak Dun;,definition corporation percent corporation voting share beneficially owned nacho nyak dun nacho nyak dun
First Nation of Nacho Nyak Dun Final Agreement,1993,Chapter 1 - Definitions,,(b),a co-operative controlled by Nacho Nyak Dun or the First Nation of Nacho Nyak Dun;,definition cooperative controlled nacho nyak dun nacho nyak dun
First Nation of Nacho Nyak Dun Final Agreement,1993,Chapter 1 - Definitions,,(c),a sole proprietorship operated by Nacho Nyak Dun;,definition sole proprietorship operated nacho nyak dun
First Nation of Nacho Nyak Dun Final Agreement,1993,Chapter 1 - Definitions,,(d),a partnership in which at least 50 percent of the partners are Nacho Nyak Dun or the First Nation of Nacho Nyak Dun; or,definition partnership least percent partner nacho nyak dun nacho nyak dun
First Nation of Nacho Nyak Dun Final Agreement,1993,Chapter 1 - Definitions,,(e),any other legal entity more than 50 percent owned or controlled by the First Nation of Nacho Nyak Dun or Nacho Nyak Dun.,definition legal entity percent owned controlled nacho nyak dun nacho nyak dun
First Nation of Nacho Nyak Dun Final Agreement,1993,Chapter 1 - Definitions,,,"""National Park"" means land described in the schedules to the National Parks Act, R.S.C. 1985, c. N-14 within the Yukon.",definition national park mean land described schedule national park act rsc c n within yukon
First Nation of Nacho Nyak Dun Final Agreement,1993,Chapter 1 - Definitions,,,"""Natural Boundary"" means a boundary, at any instant, corresponding to the position of a designated natural feature as it exists at that instant and the boundary position changes with the natural movements of the feature, so long as those movements are gradual and imperceptible from moment to moment.",definition natural boundary mean boundary instant corresponding position designated natural feature exists instant boundary position change natural movement feature long movement gradual imperceptible moment moment
First Nation of Nacho Nyak Dun Final Agreement,1993,Chapter 1 - Definitions,,,"""Navigable Water"" means a stream, river, lake, sea or other body of water, used or capable of being used by the public for navigation by boats, kayaks, canoes, rafts or other small craft, or log booms on a continuous or seasonal basis, and includes any parts thereof interrupted by occasional natural obstructions or bypassed by portages.",definition navigable water mean stream river lake sea body water used capable used public navigation boat kayak canoe raft small craft log boom continuous seasonal basis includes part thereof interrupted occasional natural obstruction bypassed portage
First Nation of Nacho Nyak Dun Final Agreement,1993,Chapter 1 - Definitions,,,"""New Mineral Right"" means any Mineral Right other than an Existing Mineral Right.",definition new mineral right mean mineral right existing mineral right
First Nation of Nacho Nyak Dun Final Agreement,1993,Chapter 1 - Definitions,,,"""Non-Settlement Land"" means all land and water in the Yukon other than Settlement Land and includes Mines and Minerals in Category B Settlement Land and Fee Simple Settlement Land, other than Specified Substances.",definition nonsettlement land mean land water yukon settlement land includes mine mineral category b settlement land fee simple settlement land specified substance
First Nation of Nacho Nyak Dun Final Agreement,1993,Chapter 1 - Definitions,,,"""Oil"" means crude oil, regardless of gravity, produced at a well head in liquid form, and any other hydrocarbons except coal and Gas and, without limiting the generality of the foregoing, includes hydrocarbons that may be extracted or recovered from deposits of oil sand, bituminous sand, oil shale or from any other type of deposits on the surface or subsurface.",definition oil mean crude oil regardless gravity produced well head liquid form hydrocarbon except coal gas without limiting generality foregoing includes hydrocarbon may extracted recovered deposit oil sand bituminous sand oil shale type deposit surface subsurface
First Nation of Nacho Nyak Dun Final Agreement,1993,Chapter 1 - Definitions,,,"""Parcel"" means any particular portion of Settlement Land.",definition parcel mean particular portion settlement land
First Nation of Nacho Nyak Dun Final Agreement,1993,Chapter 1 - Definitions,,,Specific Provision,definition specific provision
First Nation of Nacho Nyak Dun Final Agreement,1993,Chapter 1 - Definitions,,,"""Peel River Watershed"" means the lands and waters of the drainage basin of the Peel River and its tributaries.",definition peel river watershed mean land water drainage basin peel river tributary
First Nation of Nacho Nyak Dun Final Agreement,1993,Chapter 1 - Definitions,,,"""Person"" means any natural person or artificial entity capable of having rights or obligations and includes Government.",definition person mean natural person artificial entity capable right obligation includes government
First Nation of Nacho Nyak Dun Final Agreement,1993,Chapter 1 - Definitions,,,"""Petroleum"" means Oil or Gas.",definition petroleum mean oil gas
First Nation of Nacho Nyak Dun Final Agreement,1993,Chapter 1 - Definitions,,,Specific Provision,definition specific provision
First Nation of Nacho Nyak Dun Final Agreement,1993,Chapter 1 - Definitions,,,"""Primary Use Area"" has the same meaning as in the Gwich'in Transboundary Agreement.",definition primary use area meaning gwichin transboundary agreement
First Nation of Nacho Nyak Dun Final Agreement,1993,Chapter 1 - Definitions,,,"""Property Taxes"" means all municipal tax and tax on real property but, for greater certainty, does not include income tax, tax on goods and services, sales tax, or tax on transfer of real property.",definition property tax mean municipal tax tax real property greater certainty include income tax tax good service sale tax tax transfer real property
First Nation of Nacho Nyak Dun Final Agreement,1993,Chapter 1 - Definitions,,,"""Proposed Site Specific Settlement Land"" means a parcel of land identified by the notation ""S"" and a number on maps appended to each Yukon First Nation Final Agreement.",definition proposed site specific settlement land mean parcel land identified notation number map appended yukon final agreement
First Nation of Nacho Nyak Dun Final Agreement,1993,Chapter 1 - Definitions,,,"""Public Access for Wildlife Harvesting"" means a public right of access set out in 16.12.3.",definition public access wildlife harvesting mean public right access set
First Nation of Nacho Nyak Dun Final Agreement,1993,Chapter 1 - Definitions,,,"""Quarry"" means a pit, excavation, or other place made by any means for the purpose of removing Construction Materials or a site identified for such purposes, and includes works, machinery, plants, and buildings below or above ground belonging to or used in connection with a Quarry.",definition quarry mean pit excavation place made mean purpose removing construction material site identified purpose includes work machinery plant building ground belonging used connection quarry
First Nation of Nacho Nyak Dun Final Agreement,1993,Chapter 1 - Definitions,,,"""Regulation"" includes a regulation or any instrument made in the execution of a power or authority conferred by an Act.",definition regulation includes regulation instrument made execution power authority conferred act
First Nation of Nacho Nyak Dun Final Agreement,1993,Chapter 1 - Definitions,,,"""Reserve"" means a Reserve as defined in the Indian Act, R.S.C. 1985, c. I-5.",definition reserve mean reserve defined indian act rsc c
First Nation of Nacho Nyak Dun Final Agreement,1993,Chapter 1 - Definitions,,,"""Right to Work"" includes the right to enter on, use and occupy the land or as much thereof and to such extent as may be necessary for the purpose of the working and extraction of Minerals.",definition right work includes right enter use occupy land much thereof extent may necessary purpose working extraction mineral
